zip,city,state,county,timezone,lat,lng
01702,Framingham,MA,Middlesex,America/New_York,42.28217,-71.43387
01718,Acton,MA,Middlesex,America/New_York,42.51978,-71.42928
01719,Boxborough,MA,Middlesex,America/New_York,42.48836,-71.51782
01720,Acton,MA,Middlesex,America/New_York,42.48416,-71.43805
01721,Ashland,MA,Middlesex,America/New_York,42.25729,-71.46866
01730,Bedford,MA,Middlesex,America/New_York,42.49697,-71.27833
01731,Hanscom Afb,MA,Middlesex,America/New_York,42.45675,-71.27952
01740,Bolton,MA,Worcester,America/New_York,42.43616,-71.60728
01741,Carlisle,MA,Middlesex,America/New_York,42.53001,-71.35128
01742,Concord,MA,Middlesex,America/New_York,42.46225,-71.36424
01745,Fayville,MA,Worcester,America/New_York,42.29183,-71.50108
01746,Holliston,MA,Middlesex,America/New_York,42.19777,-71.44497
01747,Hopedale,MA,Worcester,America/New_York,42.12481,-71.5351
01748,Hopkinton,MA,Middlesex,America/New_York,42.2255,-71.53779
01749,Hudson,MA,Middlesex,America/New_York,42.38868,-71.54647
01752,Marlborough,MA,Middlesex,America/New_York,42.3494,-71.54681
01754,Maynard,MA,Middlesex,America/New_York,42.4264,-71.45612
01756,Mendon,MA,Worcester,America/New_York,42.09303,-71.5515
01757,Milford,MA,Worcester,America/New_York,42.15678,-71.51911
01760,Natick,MA,Middlesex,America/New_York,42.28435,-71.34981
01770,Sherborn,MA,Middlesex,America/New_York,42.23417,-71.37529
01772,Southborough,MA,Worcester,America/New_York,42.30144,-71.53041
01773,Lincoln,MA,Middlesex,America/New_York,42.4252,-71.31039
01775,Stow,MA,Middlesex,America/New_York,42.42983,-71.51148
01776,Sudbury,MA,Middlesex,America/New_York,42.38473,-71.4234
01778,Wayland,MA,Middlesex,America/New_York,42.35829,-71.35918
01801,Woburn,MA,Middlesex,America/New_York,42.487,-71.15426
01803,Burlington,MA,Middlesex,America/New_York,42.50216,-71.20257
01810,Andover,MA,Essex,America/New_York,42.64655,-71.16505
